,vote_type,proposal_id,title,voted_choice,voting_power
0,citizen_house,0x14336dfcb086279e47ef8fffbd6282984d392f1b9eaf22f76547210df6451c43,Protocol Upgrade #9: Veto #9,No Veto,50.0
1,citizen_house,0x1552e2685f2f4560d9af1f69cba056d5a3e5b78ee356b780c3b94f0bee691c11,Test Veto Vote,Veto,34.0
2,citizen_house,0x21f7126c1636cecdcf7522eadbf6e1b20ca22a2230faf871209fcd21dc999d81,Protocol Upgrade #8: Veto #7,No Veto,39.0
3,citizen_house,0x2bc6565053b73813c6b0a001c8c07eb5656234b4d8bae12ba6541250993d1d25,Protocol Upgrade #6: Veto #4,No Veto,38.0
4,citizen_house,0x34d2d612621f475962f9dfaaf2b0763438f5263c923fad529deefdd3fd34b9af,Test Vote (Season 6),Test Option A,13.0
5,citizen_house,0x34d2d612621f475962f9dfaaf2b0763438f5263c923fad529deefdd3fd34b9af,Test Vote (Season 6),Test Option B,6.0
6,citizen_house,0x3c45ddb959dcab99231e29cafad668e58c99040b5c64910676a2ace022a1ce6a,Governor Upgrade #1: Improve advanced delegation voting,No Veto,29.0
7,citizen_house,0x6efd678a37dd547f40956fb613047ffc077c234b7723298419ca54f40b8531de,Voting Cycle #17: Veto #1 ,Veto,2.0
8,citizen_house,0x8c157e9d2718a572626ad8443c494fae5986bd467dcce1c6ed088dff5531dc2f,Protocol Upgrade #5: Veto #3,No Veto,39.0
9,citizen_house,0x9e85524badfcec19856bfc51cfefc78cb5f36a9b77ec0b3b304d7d7768bdf810,Voting Cycle #18: Veto #2 ,No Veto (Approve),30.0
10,citizen_house,0xb0c109d7f68d3cb1054a50f55556d1820e517129b4b53774cb9ca32e0eabe3a4,Protocol Upgrade #10: Veto #10,No Veto ,33.0
11,citizen_house,0xcbf088e409279ca2e1dbe78f513067dd20caa4d2d2481a3f96ab8aa16620e0de,Governor Update Proposal #2: Improvements to advanced delegation allowance calculations: Veto #8,No Veto,36.0
12,citizen_house,0xcbf088e409279ca2e1dbe78f513067dd20caa4d2d2481a3f96ab8aa16620e0de,Governor Update Proposal #2: Improvements to advanced delegation allowance calculations: Veto #8,Veto,1.0
13,citizen_house,0xe2d86afceea73f2e2734550bec73af395b78826413fb3622b57dce43b2fd7b94,Protocol Upgrade #7: Veto #6,No Veto,39.0
14,citizen_house,0xff9fcfd224f44cdcb6e8118cc5909e1376044d4e2640b2d671697b656b3211a1,Ratification of Round 4 Profit Definition,"No, don't consider profit at all",34.0
